區 域 別,性別,總計,合計_0~4歲,0歲,1歲,2歲,3歲,4歲,合計_5~9歲,5歲,6歲,7歲,8歲,9歲,合計_10~14歲,10歲,11歲,12歲,13歲,14歲,合計_15~19歲,15歲,16歲,17歲,18歲,19歲,合計_20~24歲,20歲,21歲,22歲,23歲,24歲,合計_25~29歲,25歲,26歲,27歲,28歲,29歲,合計_30~34歲,30歲,31歲,32歲,33歲,34歲,合計_35~39歲,35歲,36歲,37歲,38歲,39歲,合計_40~44歲,40歲,41歲,42歲,43歲,44歲,合計_45~49歲,45歲,46歲,47歲,48歲,49歲,合計_50~54歲,50歲,51歲,52歲,53歲,54歲,合計_55~59歲,55歲,56歲,57歲,58歲,59歲,合計_60~64歲,60歲,61歲,62歲,63歲,64歲,合計_65~69歲,65歲,66歲,67歲,68歲,69歲,合計_70~74歲,70歲,71歲,72歲,73歲,74歲,合計_75~79歲,75歲,76歲,77歲,78歲,79歲,合計_80~84歲,80歲,81歲,82歲,83歲,84歲,合計_85~89歲,85歲,86歲,87歲,88歲,89歲,合計_90~94歲,90歲,91歲,92歲,93歲,94歲,合計_95~99歲,95歲,96歲,97歲,98歲,99歲,100歲以上
大安區,男,132941,5323,795,965,1065,1226,1272,8042,1407,1602,1639,1787,1607,8388,2052,1831,1568,1531,1406,6272,1511,1254,1161,1180,1166,6523,1226,1181,1471,1359,1286,7204,1450,1479,1439,1422,1414,6854,1302,1330,1416,1295,1511,7853,1287,1353,1579,1779,1855,10479,2022,2075,2135,2093,2154,9835,1912,2365,1829,1839,1890,9290,1858,1857,1867,1909,1799,9245,1761,1776,1873,1939,1896,8987,1847,1781,1827,1711,1821,8873,1724,1771,1832,1832,1714,8123,1780,1770,1599,1585,1389,4840,1289,1006,776,901,868,3320,782,712,687,567,572,1850,431,414,348,362,295,1173,292,267,229,221,164,378,125,89,80,52,32,89
大安區,女,152992,4993,718,906,1002,1157,1210,7559,1328,1453,1557,1651,1570,7902,1934,1731,1440,1430,1367,5680,1328,1144,1099,1032,1077,6171,1111,1139,1386,1309,1226,7053,1353,1423,1485,1438,1354,7652,1461,1432,1588,1435,1736,9717,1620,1690,1938,2247,2222,13219,2421,2659,2636,2790,2713,12355,2427,2916,2413,2379,2220,11335,2173,2307,2287,2355,2213,11204,2155,2211,2252,2342,2244,10976,2216,2154,2208,2205,2193,11130,2259,2329,2135,2192,2215,10252,2216,2252,2107,1948,1729,5963,1590,1181,983,1089,1120,4713,1032,1038,953,916,774,2929,723,645,605,513,443,1557,446,348,293,263,207,541,173,151,85,77,55,91
中山區,計,213393,7299,1152,1411,1472,1595,1669,8839,1740,1814,1752,1883,1650,7905,1844,1636,1352,1541,1532,7743,1569,1593,1512,1523,1546,9304,1641,1744,2028,2021,1870,11919,2329,2326,2380,2388,2496,13403,2489,2557,2796,2569,2992,15197,2674,2698,3099,3272,3454,18265,3599,3775,3702,3669,3520,16429,3197,3734,3112,3172,3214,16309,3208,3092,3345,3291,3373,16820,3253,3306,3393,3338,3530,16945,3417,3316,3437,3362,3413,16203,3229,3306,3397,3189,3082,13388,3033,3029,2675,2556,2095,7074,1936,1478,1063,1312,1285,5199,1187,1140,1069,952,851,3114,778,641,651,586,458,1544,415,367,306,250,206,431,150,107,86,59,29,63
中山區,男,98347,3759,607,742,746,808,856,4448,859,929,888,954,818,4091,945,883,687,803,773,3957,807,817,784,756,793,4735,820,850,1062,1034,969,5977,1173,1133,1199,1232,1240,6489,1240,1290,1358,1233,1368,6945,1245,1208,1452,1508,1532,8396,1648,1721,1767,1650,1610,7310,1422,1663,1375,1388,1462,7208,1414,1378,1493,1429,1494,7402,1393,1450,1487,1486,1586,7462,1485,1492,1532,1444,1509,6956,1372,1424,1429,1408,1323,5943,1322,1335,1209,1122,955,3164,872,692,480,564,556,2154,492,483,415,397,367,1139,281,220,242,216,180,605,159,145,129,97,75,175,61,48,37,22,7,32
中山區,女,115046,3540,545,669,726,787,813,4391,881,885,864,929,832,3814,899,753,665,738,759,3786,762,776,728,767,753,4569,821,894,966,987,901,5942,1156,1193,1181,1156,1256,6914,1249,1267,1438,1336,1624,8252,1429,1490,1647,1764,1922,9869,1951,2054,1935,2019,1910,9119,1775,2071,1737,1784,1752,9101,1794,1714,1852,1862,1879,9418,1860,1856,1906,1852,1944,9483,1932,1824,1905,1918,1904,9247,1857,1882,1968,1781,1759,7445,1711,1694,1466,1434,1140,3910,1064,786,583,748,729,3045,695,657,654,555,484,1975,497,421,409,370,278,939,256,222,177,153,131,256,89,59,49,37,22,31
中正區,計,148505,5565,744,1045,1077,1253,1446,8767,1566,1704,1783,1926,1788,9143,2218,2129,1676,1635,1485,6208,1432,1296,1148,1170,1162,6409,1191,1176,1445,1314,1283,7471,1437,1494,1589,1468,1483,8042,1505,1483,1674,1585,1795,10090,1749,1702,1992,2328,2319,13399,2574,2644,2663,2784,2734,12119,2520,2983,2325,2173,2118,10553,2158,2120,2116,2056,2103,10022,1911,2011,1992,2087,2021,10015,1959,1947,2043,2030,2036,9705,1896,2005,1998,1952,1854,8549,1861,1910,1692,1681,1405,4831,1294,1027,799,851,860,3645,771,804,773,660,637,2336,558,536,472,415,355,1173,323,292,240,168,150,370,125,98,56,51,40,93
中正區,男,70349,2839,404,525,562,612,736,4527,811,890,929,986,911,4794,1111,1163,893,831,796,3227,747,683,598,596,603,3261,589,595,763,680,634,3836,741,798,833,753,711,3905,750,757,825,756,817,4547,763,777,907,1071,1029,6042,1146,1154,1206,1281,1255,5506,1142,1331,1047,1020,966,4855,995,988,999,916,957,4576,889,900,914,962,911,4686,958,870,961,941,956,4550,878,935,952,898,887,3878,849,853,751,756,669,2164,590,478,355,379,362,1545,365,340,316,285,239,913,205,220,192,157,139,477,118,121,99,65,74,173,66,40,26,26,15,48
中正區,女,78156,2726,340,520,515,641,710,4240,755,814,854,940,877,4349,1107,966,783,804,689,2981,685,613,550,574,559,3148,602,581,682,634,649,3635,696,696,756,715,772,4137,755,726,849,829,978,5543,986,925,1085,1257,1290,7357,1428,1490,1457,1503,1479,6613,1378,1652,1278,1153,1152,5698,1163,1132,1117,1140,1146,5446,1022,1111,1078,1125,1110,5329,1001,1077,1082,1089,1080,5155,1018,1070,1046,1054,967,4671,1012,1057,941,925,736,2667,704,549,444,472,498,2100,406,464,457,375,398,1423,353,316,280,258,216,696,205,171,141,103,76,197,59,58,30,25,25,45
大同區,計,119123,4187,601,807,855,952,972,5099,1088,1076,1008,1024,903,4983,1214,1025,837,988,919,4638,949,951,902,891,945,5462,1028,994,1195,1155,1090,6735,1321,1301,1389,1380,1344,7704,1443,1424,1551,1499,1787,8754,1591,1501,1713,1964,1985,10661,2096,2201,2128,2139,2097,9297,1994,2184,1752,1723,1644,8716,1666,1730,1792,1764,1764,8826,1682,1795,1727,1803,1819,8907,1852,1705,1785,1729,1836,8525,1710,1782,1733,1680,1620,7030,1653,1577,1418,1273,1109,3708,917,766,611,724,690,3106,721,593,642,596,554,1827,483,403,382,310,249,729,228,173,141,104,83,190,73,35,39,27,16,39
大同區,男,57386,2152,322,396,456,498,480,2643,585,570,518,508,462,2568,625,528,451,512,452,2415,503,497,466,465,484,2821,551,496,617,592,565,3398,673,633,725,708,659,3813,745,708,728,736,896,4098,733,702,793,915,955,5068,976,1061,1001,1019,1011,4500,967,1066,842,799,826,4111,793,799,829,816,874,4258,818,853,875,844,868,4243,868,811,852,845,867,3992,783,857,810,770,772,3344,802,757,638,608,539,1636,417,379,247,301,292,1290,319,244,273,231,223,706,183,152,154,127,90,249,79,58,54,34,24,65,26,15,12,7,5,16
大同區,女,61737,2035,279,411,399,454,492,2456,503,506,490,516,441,2415,589,497,386,476,467,2223,446,454,436,426,461,2641,477,498,578,563,525,3337,648,668,664,672,685,3891,698,716,823,763,891,4656,858,799,920,1049,1030,5593,1120,1140,1127,1120,1086,4797,1027,1118,910,924,818,4605,873,931,963,948,890,4568,864,942,852,959,951,4664,984,894,933,884,969,4533,927,925,923,910,848,3686,851,820,780,665,570,2072,500,387,364,423,398,1816,402,349,369,365,331,1121,300,251,228,183,159,480,149,115,87,70,59,125,47,20,27,20,11,23
萬華區,計,173209,5320,865,1048,1037,1179,1191,5491,1160,1185,1142,1090,914,4729,1151,833,727,971,1047,6228,1190,1184,1209,1282,1363,8106,1489,1507,1786,1687,1637,10318,1975,2016,2138,2063,2126,11113,2149,2147,2291,2155,2371,12464,2297,2165,2452,2758,2792,14524,2877,2974,2868,2970,2835,13215,2653,3057,2519,2537,2449,13373,2549,2594,2754,2710,2766,14032,2673,2753,2830,2850,2926,14171,2909,2729,2854,2870,2809,13265,2612,2770,2804,2633,2446,11031,2491,2524,2126,2091,1799,6003,1527,1221,943,1142,1170,5039,1079,1141,1076,945,798,2835,684,633,578,498,442,1485,357,353,312,261,202,389,147,99,65,44,34,78
萬華區,男,84305,2730,434,523,525,634,614,2906,617,598,623,572,496,2492,608,415,376,525,568,3223,610,603,654,672,684,4229,796,824,910,853,846,5227,1012,1034,1083,1041,1057,5661,1115,1062,1179,1109,1196,6176,1164,1042,1212,1332,1426,7338,1464,1519,1454,1472,1429,6506,1323,1521,1205,1278,1179,6482,1231,1283,1281,1316,1371,6666,1300,1318,1345,1332,1371,6767,1422,1276,1352,1350,1367,6287,1253,1324,1295,1263,1152,5085,1181,1192,958,928,826,2533,637,525,406,471,494,1991,463,450,426,367,285,1128,279,240,216,214,179,657,142,156,139,130,90,174,71,44,28,15,16,47
萬華區,女,88904,2590,431,525,512,545,577,2585,543,587,519,518,418,2237,543,418,351,446,479,3005,580,581,555,610,679,3877,693,683,876,834,791,5091,963,982,1055,1022,1069,5452,1034,1085,1112,1046,1175,6288,1133,1123,1240,1426,1366,7186,1413,1455,1414,1498,1406,6709,1330,1536,1314,1259,1270,6891,1318,1311,1473,1394,1395,7366,1373,1435,1485,1518,1555,7404,1487,1453,1502,1520,1442,6978,1359,1446,1509,1370,1294,5946,1310,1332,1168,1163,973,3470,890,696,537,671,676,3048,616,691,650,578,513,1707,405,393,362,284,263,828,215,197,173,131,112,215,76,55,37,29,18,31
文山區,計,258279,8577,1291,1677,1681,1897,2031,11639,2269,2386,2429,2405,2150,11876,2790,2493,2072,2300,2221,11423,2419,2270,2251,2251,2232,13932,2594,2515,3030,2985,2808,15928,3205,3098,3318,3231,3076,15696,3071,2925,3284,3018,3398,17462,3169,3106,3495,3708,3984,21612,4350,4295,4255,4411,4301,20494,3828,4718,3985,3968,3995,20941,3881,4160,4279,4388,4233,20549,4090,4178,4072,4164,4045,19083,3954,3859,3825,3647,3798,17163,3548,3621,3519,3271,3204,13499,3224,3037,2658,2467,2113,7397,1919,1499,1238,1344,1397,5521,1360,1189,1097,956,919,3080,789,689,601,510,491,1731,431,384,370,290,256,566,188,151,97,80,50,110
文山區,男,122959,4415,657,871,882,956,1049,6016,1181,1213,1268,1242,1112,6094,1426,1269,1066,1191,1142,6028,1271,1183,1216,1168,1190,7280,1325,1310,1587,1567,1491,8131,1687,1584,1679,1662,1519,7767,1590,1509,1629,1466,1573,8254,1520,1467,1616,1784,1867,10113,2091,2053,1982,2027,1960,9324,1723,2172,1793,1829,1807,9597,1788,1898,1980,2041,1890,9624,1859,1987,1983,1920,1875,8845,1852,1804,1792,1682,1715,7947,1625,1690,1656,1527,1449,6026,1488,1371,1203,1051,913,3118,825,665,510,552,566,2105,543,473,407,329,353,1095,289,241,201,197,167,848,201,194,191,131,131,275,90,63,56,41,25,57
文山區,女,135320,4162,634,806,799,941,982,5623,1088,1173,1161,1163,1038,5782,1364,1224,1006,1109,1079,5395,1148,1087,1035,1083,1042,6652,1269,1205,1443,1418,1317,7797,1518,1514,1639,1569,1557,7929,1481,1416,1655,1552,1825,9208,1649,1639,1879,1924,2117,11499,2259,2242,2273,2384,2341,11170,2105,2546,2192,2139,2188,11344,2093,2262,2299,2347,2343,10925,2231,2191,2089,2244,2170,10238,2102,2055,2033,1965,2083,9216,1923,1931,1863,1744,1755,7473,1736,1666,1455,1416,1200,4279,1094,834,728,792,831,3416,817,716,690,627,566,1985,500,448,400,313,324,883,230,190,179,159,125,291,98,88,41,39,25,53
